日期,时间,用户id,聊天内容
2017-03-30,08:29:28,160626360086053006,300044可继续持有吗？，亏2个点
2017-03-30,08:48:40,170307360071453145,开始
2017-03-30,09:01:23,161213360045837958,"300151怎么操作
"
2017-03-30,09:02:11,161213360045837958,"300151是割肉还是补仓
"
2017-03-30,09:04:18,170306360081133844,涨
2017-03-30,09:05:15,170310360068889367,老师这只是什么 
2017-03-30,09:06:10,170309360016360902,昨天又猜错了。大盘太不给面子了[U+1F612]
2017-03-30,09:06:27,170306360049904178,我猜今天是涨[U+270A]
2017-03-30,09:06:48,170306360049904178,是啊
2017-03-30,09:11:46,160509360076966348,还是游客身份的朋友们抓紧时间注册，成为会员，参与竞猜活动，有机会获的免费送出的Alpha大礼包，还可以进行诊股哦！
2017-03-30,09:12:57,170306360044027374,[U+2764]涨
2017-03-30,09:14:18,170306360044027374,「xh」
2017-03-30,09:18:54,170306360052839398,002140怎么操作？
2017-03-30,09:19:52,160421360046615619,「zs」
2017-03-30,09:19:57,160421360046615619,「dyg」
2017-03-30,09:20:11,170307360064440262,「xh」
2017-03-30,09:21:26,13121829727,[U+1F44D]
2017-03-30,09:22:14,o-ugVwjQ9yugQpOJXnTqqMnyixZc,老师请看一下O02253成本价31.45该怎么操作
2017-03-30,09:25:23,170310360068889367,老师三只标的是什么
2017-03-30,09:25:31,161113360082296851,多
2017-03-30,09:26:34,13667362060,看多
2017-03-30,09:26:36,170308360077880347,今天上涨
2017-03-30,09:26:47,13121829727,是不是还要跌
2017-03-30,09:29:14,170309360016360902,我想看涨，但是我猜下跌[U+1F62D]
2017-03-30,09:30:22,160509360076966348,【重要提示】Alpha量化提示仓位三成！
2017-03-30,09:33:23,170306360052839398,[U+1F64F]
2017-03-30,09:39:14,170306360007583639,看多
2017-03-30,09:47:56,170309360093406375,，
2017-03-30,09:56:12,170301360066588921,"请问老师300556成本53.5，怎么操作
"
2017-03-30,09:56:27,170308360077880347,多
2017-03-30,09:56:52,170309360068173655,涨
2017-03-30,10:08:57,170328360040780985,吴老师，今天能布局吗？
2017-03-30,14:19:58,170306360049904178,[U+1F44F]
2017-03-30,14:29:00,160509360076966348,直播马上开始，还是游客身份的朋友们抓紧时间注册，成为会员，就可以参与互动啦！
2017-03-30,14:30:17,170306360039404484,[U+1F62D]
2017-03-30,14:30:55,160421360046615619,[U+1F44B]
2017-03-30,14:31:13,170301360015766830,「zs」
2017-03-30,14:31:14,170301360015766830,「zs」
2017-03-30,14:31:19,170306360039404484,5600亿
2017-03-30,14:33:42,170306360039404484,「xh」
2017-03-30,14:42:06,170324360007667096,利君股份您帮看一看
2017-03-30,14:46:39,170306360010870414,「zs」
2017-03-30,14:47:32,170306360010870414,5860
2017-03-30,14:50:05,170228360011749533,张老师，603126能否持有？
2017-03-30,14:50:17,160509360076966348,距离收盘还有不到10分钟，参与大竞猜的朋友们抓紧时间把您的观点发到互动区，就有机会获得免费大礼包！
2017-03-30,14:50:37,170309360016360902,[U+1F44F][U+1F44F][U+1F44F]
2017-03-30,14:51:18,170307360024294705,5750亿
2017-03-30,14:51:52,170326360093807208,002347帮看一下老师
2017-03-30,14:52:08,170301360049432177,000672能持有吗？
2017-03-30,14:52:09,170306360010870414,今天又跌了，前几天都没猜对[U+1F62D]
2017-03-30,14:52:24,170301360015766830,"北化股份明天后需怎么操作，谢啦!!☆⌒(*＾-゜)v

"
2017-03-30,14:52:49,170309360016360902,这集是猜什么呀？
2017-03-30,14:54:37,170312360095052989,000837买入价是9.74元，可以拿吗
2017-03-30,14:56:32,170228360011749533,"谢谢张老师
"
2017-03-30,14:59:11,170309360016360902,唉，来晚了
2017-03-30,15:00:09,170324360007667096,3500亿
2017-03-30,15:00:34,170306360010870414,「zs」
2017-03-30,15:03:56,170307360024294705,老师，今天的量能怎么看？
2017-03-30,15:04:59,170324360007667096,谢谢老师
2017-03-30,15:05:03,161113360082296851,老师：您好！麻烦看看四川成渝后市如何？谢谢！
2017-03-30,15:09:09,170306360010870414,张老师真幽默[U+1F604]
2017-03-30,15:09:52,170309360016360902,张老师一碰见小娟就爱开玩笑了[U+1F601][U+1F601][U+1F601][U+1F601][U+1F601]
2017-03-30,15:10:22,170306360010870414,[U+1F601]
2017-03-30,15:12:35,170309360016360902,我也要私聊一下[U+1F601][U+1F601][U+1F601][U+1F601][U+1F604][U+1F604][U+1F604]
2017-03-30,15:13:12,160421360046615619,<。)#)))≦
2017-03-30,15:13:27,13121829727,量化的雪球价值越高越好吗？
2017-03-30,15:18:39,170305360086173890,大千生态72.3的成本，能继续持有吗
2017-03-30,15:19:29,13121829727,[U+1F44D]
2017-03-30,15:20:47,170309360016360902,这个老师好帅啊[U+1F60D]
2017-03-30,15:29:28,170309360016360902,帅
2017-03-30,15:30:21,170306360010870414,「zs」
2017-03-30,15:30:22,170306360010870414,「zs」
2017-03-30,15:30:25,170306360010870414,「zs」
2017-03-30,08:55:10,160831360000534461,老师请问600537成本7.8元请问该怎么操作.能不能再补仓.还是卖掉换股
2017-03-30,09:01:51,160509360076966348,您好，直播准时9:00开始，请您在直播中提问！
2017-03-30,09:04:24,160831360000534461,老师请问600537成本7.8元请问该怎么操作.能不能再补仓.还是卖掉换股
2017-03-30,09:08:41,160509360076966348,欢迎来到《A股开场哨》，直播中有A股多空大竞猜环节，参与即有机会获得Alpha量化大奖，还可以免费问股，老师们会逐一解答哦！证券之星竭诚为您服务！
2017-03-30,09:34:44,160831360000534461,老师请问600537成本7.8元请问该怎么操作.能不能再补仓.还是卖掉换股
2017-03-30,09:58:55,160509360076966348,"您好，建议您把个股问题发送到互动区，或者拨打客服电话咨询：
010-53955299/53935909"
2017-03-30,14:27:09,160509360076966348,欢迎来到股评类直播栏目《A股开场哨》，直播中有两市成交量大竞猜环节，参与即有可能获得Alpha量化大奖，快快加入我们吧，还可以免费问股哦！证券之星竭诚为您服务！
2017-03-30,14:37:16,160509360076966348," 

欢迎来到股评类直播栏目《黄金两点半》，直播中有两市成交量大竞猜环节，参与即有机会获得Alpha量化大奖，快快加入我们吧，还可以免费问股哦！证券之星竭诚为您服务！ "
2017-03-30,14:56:39,160509360076966348,有破位的迹象，虽然回补了跳空缺口，但是后市看到13元左右位置，Alpha量化显示结果各项指标表现一般，其中雪球价值分值较低，资金只有小幅流入，未买入的话不要盲目抄底，已买入的话遇反抽减仓离场！
2017-03-30,14:59:28,160509360076966348,您好，本档节目是猜沪深两市成交量，越接近成交量越有可能获得大礼包！
2017-03-30,15:29:51,160509360076966348,今天晚上19:30《投资大参考》将会继续给大家带来精彩的节目，请各位投资者朋友稍作休息，晚上同一时间不见不散！
